title,author,googlebooks_id1,googlebooks_id2,googlebooks_id3,googlebooks_id4,googlebooks_id5
The Red Tent,Anita Diamant,5hcdO0pDtY8C,gjxqQda8S-EC,kuYlDwAAQBAJ,Vei2_OQcEcsC,uu9DBAAAQBAJ
The Sea of Monsters,Rick Riordan,8yWqlAEACAAJ,0YU2AAAAQBAJ,2wtgvgEACAAJ,3rUvl1m1q9cC,dFOUvgEACAAJ
Dear John,Nicholas Sparks,vJ4L75X8OUwC,5KVQAQAAIAAJ
City of Ashes,Cassandra Clare,mwgpeq5PSgQC,R6LdwAEACAAJ,rEPwXwAACAAJ,pp8zwgEACAAJ,r63oLL3zwpsC
Macbeth,William Shakespeare,_CRMAAAAcAAJ,JoQo78Jth7kC,cNUABG5oEoUC,TGGLzQEACAAJ,rjd9zQEACAAJ
The Two Towers,J.R.R. Tolkien,12e8PJ2T7sQC,UraJfjMXYV0C,nv7yxwEACAAJ,FKziXsnqLTEC,ESrbDwAAQBAJ
Something Borrowed,Emily Giffin,6M7xLJL1Fh4C,dap3CgAAQBAJ,3ydnhB7waIEC
Green Eggs and Ham,Dr. Seuss,3_Y9DwAAQBAJ,HsfbyQEACAAJ,WB82QwAACAAJ,hO_yvQEACAAJ,7J9-DwAAQBAJ
Charlie and the Chocolate Factory,Roald Dahl,LEPHdr6DRcwC,GfiR_-oxkyMC,iaD7DAAAQBAJ,riYaAgAACAAJ,-wnEAAAACAAJ
The Battle of the Labyrinth,Rick Riordan,NUF7VdEh8cwC,kDdtzQEACAAJ,mqSoswEACAAJ,cnleDwAAQBAJ,4AodtAEACAAJ
Great Expectations,Charles Dickens,fhUXAAAAYAAJ,HByVN01euAAC,h6FYxdUKeTwC,JWYGMQAACAAJ,rdylBAAAQBAJ
The Return of the King,J.R.R. Tolkien,WZ0f_yUgc0UC,MIg-zQEACAAJ,dQkFLM8_5ZEC,7iohyQEACAAJ,FKziXsnqLTEC
The Stranger,Albert Camus,TAWfCgAAQBAJ,Pd87YgEACAAJ,OXiGAAAACAAJ,XtUrtgEACAAJ,BolFYgEACAAJ
The Lost Hero,Rick Riordan,JeiGsRd4mywC,zs_PkQEACAAJ,jtmlYMvWsnEC,L1ChBAAAQBAJ,KV-OBAAAQBAJ
Eleanor & Park,Rainbow Rowell,Z4b8AwAAQBAJ,Qts7Heh3_sMC,kDLx1-vH2voC,nszcN0LakhwC,zc0K2KfOhREC
A Feast for Crows,George R.R. Martin,KrLErQEACAAJ,Zc5MDQAAQBAJ,mA8A4BYWB1IC,HWQYDQAAQBAJ,oapwuQAACAAJ
Matched,Ally Condie,qnMnCvJ4WGkC,BU7yAQAAQBAJ,mfviwQEACAAJ,okuSzQEACAAJ,eSeSzQEACAAJ
American Gods,Neil Gaiman,fXfJCKXp5-kC,7Sh0vAEACAAJ,XpYXARD6BjYC,rmtDDwAAQBAJ,LT3ayAEACAAJ
The Stand,Stephen King,UbfnTcmkaKkC,kaLVAQAAQBAJ,Gbb8mNeYmTcC,l3gx0oBuYfoC,wZTWAQAAQBAJ
The Last Song,Nicholas Sparks,2-SeHlvtIXkC,CkF0AwAAQBAJ,2PF6Qlx4foAC,ZMTzygEACAAJ,JZePMQEACAAJ
Digital Fortress,Dan Brown,-vHa-qiBIMgC,atWFAAAACAAJ,ob2gAAAACAAJ,Em8dSQAACAAJ
Emma,Jane Austen,rTYJAAAAQAAJ,FtMoAwAAQBAJ,LUXrDAAAQBAJ,RzD2i9kC9SAC,PSvLbtYr1JAC
Anna Karenina,Leo Tolstoy,5VBODwAAQBAJ,1DooDwAAQBAJ,wyEv4KKvb_oC,l41DBAAAQBAJ,5qrDWZtH4V4C
